Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label
1/27/2015,2015,1,27,1,4,2015-04,243.2,248,219.8,220.2,78200,220.2,0,220.2,220.2,undefined
1/28/2015,2015,1,28,2,4,2015-04,221.4,228,220,221,7700,221,0.003633075,220.6,220.6,undefined
1/29/2015,2015,1,29,3,4,2015-04,221.6,227.4,219.8,224,12300,224,0.013574661,221.7333333,221.7333333,undefined
1/30/2015,2015,1,30,4,4,2015-04,224,227.4,218,221.8,6600,221.8,-0.009821415,221.75,221.75,undefined
2/2/2015,2015,2,2,0,5,2015-05,224.2,225.96,218.6,221.8,1700,221.8,0,221.76,221.76,undefined
2/3/2015,2015,2,3,1,5,2015-05,221,225.8,220,221,2600,221,-0.003606867,221.6333333,221.6333333,undefined
2/4/2015,2015,2,4,2,5,2015-05,222.8,222.8,220,221,500,221,0,221.5428571,221.5428571,undefined
2/5/2015,2015,2,5,3,5,2015-05,220.2,221.8,220,220.2,1500,220.2,-0.003619923,221.375,221.375,undefined
2/6/2015,2015,2,6,4,5,2015-05,220.2,221.6,220,220,500,220,-0.000908251,221.2222222,221.2222222,undefined
2/9/2015,2015,2,9,0,6,2015-06,220,221.2,220,220.4,2000,220.4,0.001818154,221.14,221.14,undefined
2/10/2015,2015,2,10,1,6,2015-06,221.8,222.2,220,220.8,1200,220.8,0.001814924,221.1090909,221.1090909,undefined
2/11/2015,2015,2,11,2,6,2015-06,220.2,220.5,220,220.2,2900,220.2,-0.002717419,221.0333333,221.0333333,undefined
2/12/2015,2015,2,12,3,6,2015-06,221,221,220,220.2,2800,220.2,0,220.9692308,220.9692308,undefined
2/13/2015,2015,2,13,4,6,2015-06,220,220.2,220,220,1900,220,-0.000908251,220.9,220.9,undefined
2/17/2015,2015,2,17,1,7,2015-07,220,222,220,222,1900,222,0.009090909,221.0285714,220.9733333,undefined
2/18/2015,2015,2,18,2,7,2015-07,220.4,222.2,220.06,220.4,1200,220.4,-0.007207235,220.9857143,220.9375,undefined
2/19/2015,2015,2,19,3,7,2015-07,222,222,220,220,600,220,-0.001814854,220.7,220.8823529,undefined
2/20/2015,2015,2,20,4,7,2015-07,220.2,224,220,221.8,2500,221.8,0.008181832,220.7,220.9333333,undefined
2/23/2015,2015,2,23,0,8,2015-08,220.4,224,219.6,221,2500,221,-0.003606867,220.6428571,220.9368421,undefined
2/24/2015,2015,2,24,1,8,2015-08,222,223.6,220.3,223.4,600,223.4,0.010859701,220.8142857,221.06,undefined
2/25/2015,2015,2,25,2,8,2015-08,223.6,223.6,221.2,222.7,1000,222.7,-0.003133379,220.9357143,221.1380952,undefined
2/26/2015,2015,2,26,3,8,2015-08,220.4,221.4,220,220.8,700,220.8,-0.00853163,220.9785714,221.1227273,undefined
2/27/2015,2015,2,27,4,8,2015-08,220.6,220.6,200,207.6,3600,207.6,-0.059782594,220.0928571,220.5347826,undefined
3/2/2015,2015,3,2,0,9,2015-09,204.6,209.6,196,201.2,700,201.2,-0.03082856,218.7214286,219.7291667,undefined
3/3/2015,2015,3,3,1,9,2015-09,200,202.8,195,197.8,200,197.8,-0.016898578,217.0785714,218.852,undefined
3/4/2015,2015,3,4,2,9,2015-09,195,198,195,197.6,400,197.6,-0.001011107,215.4642857,218.0346154,undefined
