High,Low,Open,Close,Volume,Adj Close,Return,Date,Week_Number,Year,mean_return,volatility,label
22.79999924,19.20000076,19.79999924,21.20000076,28800,21.20000076,9.278,1/6/17,1,2017,8.07025,5.303241925,green
26,23.39999962,24.20000076,24,13100,24,-6.977,1/13/17,2,2017,2.9754,11.14663049,green
23.39999962,21.79999924,23.39999962,22.39999962,4200,22.39999962,-1.754,1/20/17,3,2017,-1.70825,0.666239384,red
23.34000015,21.39999962,22.79999924,22.79999924,12500,22.79999924,1.786,1/27/17,4,2017,0.362,1.340873409,green
22.60000038,20.18000031,22.60000038,21.79999924,13000,21.79999924,-4.386,2/3/17,5,2017,-0.845,3.446704368,red
24.79999924,22.39999962,24.79999924,24,9000,24,-2.439,2/10/17,6,2017,1.974,2.859207583,green
67.59999847,58.20000076,63.79999924,62.40000153,457400,62.40000153,1.629,2/17/17,7,2017,22.1856,18.57431123,green
60,44.40000153,44.40000153,52.20000076,480300,52.20000076,18.636,2/24/17,8,2017,-3.53625,15.16933937,red
58.20000076,48,48,55.20000076,108300,55.20000076,6.564,3/3/17,9,2017,1.2486,5.619683692,red
49.59999847,45,48.20000076,47,31100,47,-1.674,3/10/17,10,2017,-3.0354,5.697093627,red
33.59999847,31,31.39999962,31,578900,31,-9.884,3/17/17,11,2017,-7.8738,5.026191918,red
37.79999924,33.20000076,37.40000153,34.59999847,113100,34.59999847,-2.26,3/24/17,12,2017,2.2966,4.366148738,red
41.59999847,37.20000076,39,38,164100,38,-1.042,3/31/17,13,2017,1.9858,4.967951308,green
32,30,31.39999962,31.79999924,50800,31.79999924,-0.625,4/7/17,14,2017,-3.4284,4.085255108,red
32.40000153,30.39999962,30.39999962,31,31000,31,1.307,4/13/17,15,2017,-0.62475,1.647356949,red
30,29.20000076,29.79999924,29.60000038,13900,29.60000038,-1.333,4/21/17,16,2017,-0.9168,0.87805165,red
33.43999863,30.20000076,30.20000076,32.79999924,35700,32.79999924,6.494,4/28/17,17,2017,2.2002,5.643659823,green
31.79999924,30,31.20000076,30.79999924,16800,30.79999924,-1.911,5/5/17,18,2017,-1.218,2.83098693,red
28.79999924,27,27.39999962,28.20000076,30700,28.20000076,2.92,5/12/17,19,2017,-1.5942,6.118891378,red
28.04000092,26.60000038,27,26.79999924,13600,26.79999924,-2.19,5/19/17,20,2017,-0.9586,3.719314023,red
31.39999962,28,28.20000076,29.79999924,166400,29.79999924,12.03,5/26/17,21,2017,2.2874,6.117064067,red
31.60000038,29.20000076,31.39999962,30,61200,30,0.671,6/2/17,22,2017,0.1725,1.152461279,green
30.79999924,28.39999962,30.79999924,30,51300,30,-3.846,6/9/17,23,2017,0.1716,6.641971492,red
27.20000076,24,24.79999924,26.79999924,68800,26.79999924,6.349,6/16/17,24,2017,-2.0926,5.82993506,red
29,27.79999924,28,29,32000,29,3.571,6/23/17,25,2017,1.673,4.603158535,green
28.60000038,26.70000076,28,28.20000076,17900,28.20000076,0.714,6/30/17,26,2017,-0.4716,4.567106447,red
28.20000076,27,27.60000038,27.79999924,15600,27.79999924,0.725,7/7/17,27,2017,-0.3495,1.369176516,red
26.79999924,25.60000038,26.60000038,26.20000076,11800,26.20000076,-1.504,7/14/17,28,2017,-1.1626,1.986648006,red
27,26,26.79999924,26.39999962,15400,26.39999962,-1.493,7/21/17,29,2017,0.1582,1.235245603,red
25.78000069,25.20000076,25.20000076,25.39999962,5100,25.39999962,-0.781,7/28/17,30,2017,-0.719,3.51546903,red
23.39999962,20.20000076,23.20000076,21.20000076,32800,21.20000076,-7.018,8/4/17,31,2017,-3.5168,2.842082986,red
18.79999924,16.26000023,18.79999924,17,68100,17,-9.574,8/11/17,32,2017,-4.2588,3.819545745,red
16.79999924,15.80000019,16.79999924,16.37999916,17900,16.37999916,-2.5,8/18/17,33,2017,-0.5134,7.41699402,red
18.76000023,16.60000038,16.79999924,17.20000076,77200,17.20000076,2.748,8/25/17,34,2017,1.032,3.577252647,red
19.20000076,16.39999962,16.39999962,18.55999947,51200,18.55999947,10.476,9/1/17,35,2017,1.6346,5.156304374,green
18.37999916,17,18.37999916,17.60000038,17000,17.60000038,-4.348,9/8/17,36,2017,-1.2465,4.409152791,red
19.79999924,18.20000076,18.20000076,19.79999924,19100,19.79999924,5.096,9/15/17,37,2017,2.5364,6.210218619,green
19.57999992,18.81999969,19.23999977,19.57999992,5500,19.57999992,2.406,9/22/17,38,2017,-0.1776,3.381668641,red
16.79999924,16.29999924,16.55999947,16.45999908,8500,16.45999908,-0.843,9/29/17,39,2017,-3.1612,7.735862893,red
17.37999916,16.70000076,17.37999916,16.95999908,8400,16.95999908,-0.235,10/6/17,40,2017,0.6472,3.444406364,red
22.79999924,20.39999962,22,20.79999924,90300,20.79999924,-7.965,10/13/17,41,2017,4.4886,9.088548195,green
18,16.5,17,16.97999954,43200,16.97999954,0.473,10/20/17,42,2017,-3.919,3.710204105,red
14.80000019,13.60000038,14.19999981,14.19999981,25900,14.19999981,-1.389,10/27/17,43,2017,-3.4274,4.513254956,red
15.19999981,14,14.76000023,14.19999981,15800,14.19999981,-4.054,11/3/17,44,2017,0.1824,6.950422311,red
15.26000023,13.39999962,14.39999962,13.80000019,38200,13.80000019,-1.429,11/10/17,45,2017,-0.5398,2.738395826,red
14,13.19999981,13.80000019,13.69999981,33300,13.69999981,5.223,11/17/17,46,2017,0.2304,9.370180377,red
13.39999962,12.39999962,12.39999962,12.80000019,7300,12.80000019,0,11/24/17,47,2017,-1.582,5.124843282,red
13,12,12.35999966,12.39999962,23900,12.39999962,1.806,12/1/17,48,2017,-0.56,4.213439153,red
