High,Low,Open,Close,Volume,Adj Close,Return,Date,Week_Number,Year,mean_return,volatility,label
248,219.8000031,243.1999969,220.1999969,78200,220.1999969,0,1/27/2015,4,2015,0.1845,0.966329999,undefined
228,220,221.3999939,221,7700,221,0.363,1/28/2015,4,2015,0.1845,0.966329999,undefined
227.3999939,219.8000031,221.6000061,224,12300,224,1.357,1/29/2015,4,2015,0.1845,0.966329999,undefined
227.3999939,218,224,221.8000031,6600,221.8000031,-0.982,1/30/2015,4,2015,0.1845,0.966329999,undefined
225.9600067,218.6000061,224.1999969,221.8000031,1700,221.8000031,0,2/2/2015,5,2015,-0.1628,0.18515318,undefined
225.8000031,220,221,221,2600,221,-0.361,2/3/2015,5,2015,-0.1628,0.18515318,undefined
222.8000031,220,222.8000031,221,500,221,0,2/4/2015,5,2015,-0.1628,0.18515318,undefined
221.8000031,220,220.1999969,220.1999969,1500,220.1999969,-0.362,2/5/2015,5,2015,-0.1628,0.18515318,undefined
221.6000061,220,220.1999969,220,500,220,-0.091,2/6/2015,5,2015,-0.1628,0.18515318,undefined
221.1999969,220,220,220.3999939,2000,220.3999939,0.182,2/9/2015,6,2015,-5.55E-18,0.192451293,undefined
222.1999969,220,221.8000031,220.8000031,1200,220.8000031,0.181,2/10/2015,6,2015,-5.55E-18,0.192451293,undefined
220.5,220,220.1999969,220.1999969,2900,220.1999969,-0.272,2/11/2015,6,2015,-5.55E-18,0.192451293,undefined
221,220,221,220.1999969,2800,220.1999969,0,2/12/2015,6,2015,-5.55E-18,0.192451293,undefined
220.1999969,220,220,220,1900,220,-0.091,2/13/2015,6,2015,-5.55E-18,0.192451293,undefined
222,220,220,222,1900,222,0.909,2/17/2015,7,2015,0.20625,0.791170178,undefined
222.1999969,220.0599976,220.3999939,220.3999939,1200,220.3999939,-0.721,2/18/2015,7,2015,0.20625,0.791170178,undefined
222,220,222,220,600,220,-0.181,2/19/2015,7,2015,0.20625,0.791170178,undefined
224,220,220.1999969,221.8000031,2500,221.8000031,0.818,2/20/2015,7,2015,0.20625,0.791170178,undefined
224,219.6000061,220.3999939,221,2500,221,-0.361,2/23/2015,8,2015,-1.2838,2.721721275,undefined
223.6000061,220.3000031,222,223.3999939,600,223.3999939,1.086,2/24/2015,8,2015,-1.2838,2.721721275,undefined
223.6000061,221.1999969,223.6000061,222.6999969,1000,222.6999969,-0.313,2/25/2015,8,2015,-1.2838,2.721721275,undefined
221.3999939,220,220.3999939,220.8000031,700,220.8000031,-0.853,2/26/2015,8,2015,-1.2838,2.721721275,undefined
220.6000061,200,220.6000061,207.6000061,3600,207.6000061,-5.978,2/27/2015,8,2015,-1.2838,2.721721275,undefined
209.6000061,196,204.6000061,201.1999969,700,201.1999969,-3.083,3/2/2015,9,2015,1.0398,3.820303614,undefined
202.8000031,195,200,197.8000031,200,197.8000031,-1.69,3/3/2015,9,2015,1.0398,3.820303614,undefined
198,195,195,197.6000061,400,197.6000061,-0.101,3/4/2015,9,2015,1.0398,3.820303614,undefined
210,201.1999969,201.1999969,206.3999939,900,206.3999939,4.453,3/5/2015,9,2015,1.0398,3.820303614,undefined
219.3999939,207.6000061,208,218,1100,218,5.62,3/6/2015,9,2015,1.0398,3.820303614,undefined
226,217,219,221.8000031,1000,221.8000031,1.743,3/9/2015,10,2015,0.3178,2.533959096,undefined
223.8000031,210.1999969,219.8000031,214.3999939,700,214.3999939,-3.336,3/10/2015,10,2015,0.3178,2.533959096,undefined
225,210.1999969,210.1999969,221.1999969,700,221.1999969,3.172,3/11/2015,10,2015,0.3178,2.533959096,undefined
225,214,214,223.3999939,300,223.3999939,0.995,3/12/2015,10,2015,0.3178,2.533959096,undefined
222,210.1999969,222,221.1999969,400,221.1999969,-0.985,3/13/2015,10,2015,0.3178,2.533959096,undefined
222,217,217.0399933,221.3999939,800,221.3999939,0.09,3/16/2015,11,2015,-1.7764,8.102024519,undefined
222,212.6000061,221.3999939,222,600,222,0.271,3/17/2015,11,2015,-1.7764,8.102024519,undefined
223,216.1999969,220.6000061,216.6000061,800,216.6000061,-2.432,3/18/2015,11,2015,-1.7764,8.102024519,undefined
233.8000031,211,216.8000031,233.3999939,2500,233.3999939,7.756,3/19/2015,11,2015,-1.7764,8.102024519,undefined
240,199.3999939,233,199.3999939,7000,199.3999939,-14.567,3/20/2015,11,2015,-1.7764,8.102024519,undefined
207.6000061,195.1999969,206,199.8000031,1300,199.8000031,0.201,3/23/2015,12,2015,-1.9462,3.7727695,undefined
205.1999969,197.1999969,202,205.1999969,1400,205.1999969,2.703,3/24/2015,12,2015,-1.9462,3.7727695,undefined
203.3999939,195.3999939,203.3999939,195.3999939,200,195.3999939,-4.776,3/25/2015,12,2015,-1.9462,3.7727695,undefined
194.6000061,160,193.3999939,182.3999939,2700,182.3999939,-6.653,3/26/2015,12,2015,-1.9462,3.7727695,undefined
182,175,178,180.1999969,500,180.1999969,-1.206,3/27/2015,12,2015,-1.9462,3.7727695,undefined
195.6000061,178.0800018,180.1999969,190.6000061,600,190.6000061,5.771,3/30/2015,13,2015,3.5115,3.080594585,undefined
213,185.6000061,189.8000031,202.1999969,1300,202.1999969,6.086,3/31/2015,13,2015,3.5115,3.080594585,undefined
205,187.3999939,205,201.1999969,200,201.1999969,-0.495,4/1/2015,13,2015,3.5115,3.080594585,undefined
212,188.8200073,188.8200073,206.6000061,2300,206.6000061,2.684,4/2/2015,13,2015,3.5115,3.080594585,undefined
210,186.6000061,186.6000061,208.1999969,0,208.1999969,0.774,4/6/2015,14,2015,0.747,3.935009593,undefined
207.8000031,194,207.8000031,205.1999969,200,205.1999969,-1.441,4/7/2015,14,2015,0.747,3.935009593,undefined
202.6000061,196.8000031,196.8000031,202.6000061,0,202.6000061,-1.267,4/8/2015,14,2015,0.747,3.935009593,undefined
202.8000031,186.8999939,202.8000031,198.8000031,0,198.8000031,-1.876,4/9/2015,14,2015,0.747,3.935009593,undefined
219.8000031,195.1999969,198.3999939,213.8000031,200,213.8000031,7.545,4/10/2015,14,2015,0.747,3.935009593,undefined
219.6000061,194.8000031,219.6000061,202,400,202,-5.519,4/13/2015,15,2015,-2.6092,2.886212865,undefined
202.0599976,191.8000031,193,195.1000061,100,195.1000061,-3.416,4/14/2015,15,2015,-2.6092,2.886212865,undefined
200.8000031,190.3999939,195,192.8000031,200,192.8000031,-1.179,4/15/2015,15,2015,-2.6092,2.886212865,undefined
199.1999969,182.1000061,182.1000061,196,600,196,1.66,4/16/2015,15,2015,-2.6092,2.886212865,undefined
192,185.6000061,185.6000061,187,100,187,-4.592,4/17/2015,15,2015,-2.6092,2.886212865,undefined
188,177,185,185,500,185,-1.07,4/20/2015,16,2015,-1.2014,0.991977217,undefined
189.3200073,179.8000031,183.3999939,181,200,181,-2.162,4/21/2015,16,2015,-1.2014,0.991977217,undefined
186.6000061,174.7599945,183.1999969,177.3999939,600,177.3999939,-1.989,4/22/2015,16,2015,-1.2014,0.991977217,undefined
